platform,verdict,app,bundle_id,source,occurrences,reasons
Samsung,maybe,,com.samsung.vanossgaming,,12,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Dental Digest,com.samsung.dental_digest,Playwork,11,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.ethan_gamer,,11,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.fnaf_gaming,,11,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Fru,com.samsung.fru,Playwork,11,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,unlikely,Ninja Kids Tv,com.samsung.nidal_wonder,Playwork,11,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead | app-name pattern suggests FAST/24h channel → SSAI typical"
Android,yes,,com.rumble.webos.app,,11,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Vanossgaming,com.samsung.uzoth,Playwork,11,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.animation_time,,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.bestoffortnite,,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bumpy,com.samsung.bumpy,Playwork,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.chesstv,,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Daylin Funhouse,com.samsung.dantdm,Playwork,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Jordan Matter,B0DVC3QB6Z,Playwork,10,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,,com.samsung.karla_bustillos,,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,unlikely,Tcl Tv,com.tcl.waterfall.overseas,,10,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model | app-name pattern suggests FAST/24h channel → SSAI typical"
Samsung,maybe,,com.samsung.the_fun_squad,,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Uzoth,com.samsung.uzoth,Playwork,10,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Dantdm,com.samsung.dantdm,Playwork,9,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,Forge Labs,com.lg.forge_labs,Playwork,9,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,Jordansalishmatter,com.samsung.jordan_matter,Playwork,9,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Miloandchip,com.samsung.milo_and_chip,Playwork,9,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Pwkids,com.samsung.pwkids,Playwork,9,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Android,yes,Rumble: Videos & Livestreams,com.rumble.webos.app,,9,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
LG,maybe,Tankee,com.lg.strawberry_shortcake,Playwork,9,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Fire TV,yes,,B0DTQCPWQ4,,9,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vidaa,maybe,Creature Mix,com.vidaa.creator_nation,Playwork,8,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Samsung,maybe,,com.samsung.firelight,,8,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Forge Labs,B0FH4LGGLG,Playwork,8,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,,com.samsung.forge_labs,,8,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Futuristic Hub,com.samsung.futuristic_hub,Playwork,8,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.omg_chad,,8,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Ssundee,com.vidaa.ssundee,Playwork,8,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Comcast,unlikely,,com.comcast.tankee,,8,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Vidaa,maybe,A Maze Ing Mac,com.vidaa.a_maze_ing_mac,Playwork,7,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Rogers,unlikely,,com.rogers.ali_a,,7,"Cable STB; usually SSAI"
Samsung,maybe,Bestofminecraft,com.samsung.,Playwork,7,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,unlikely,United States Fire TV CTV https://,www.amazon.com,,7,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0 | app-name pattern suggests FAST/24h channel → SSAI typical"
Android,yes,Com.Rumble.Firetv.App,com.rumble.firetv,,7,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0FF52QGXH,,7,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,,com.samsung.dental_digest,,7,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,,com.samsung.mau_mcmahon,,7,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Milo And Chip,com.samsung.meenyu,Playwork,7,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,,B0CHW3DY3H,,7,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Omg Chad,com.samsung.officialnoobie,Playwork,7,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,,B0FRB4SCZL,,7,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Adam Rose,com.samsung.adam_rose,,6,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,Annoying Orange,com.lg.annoying_orange,Playwork,6,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Fire TV,yes,Com.Rumble.Firetv.App,com.rumble.firetv,,6,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Creator Nation,com.samsung.creator_nation,Playwork,6,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Dantdm,B0FF52QGXH,Playwork,6,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0CN8MQRB7,,6,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Drewdirksen,com.samsung.dental_digest,Playwork,6,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Ethan Gamer,com.samsung.emazing,Playwork,6,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Like Nastya,com.samsung.life_of_luxury,Playwork,6,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Like Nastya,com.samsung.like_nastya,Playwork,6,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Like Nastya Spain,B0FF4Y5TBT,Playwork,6,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
LG,maybe,,com.lg.like_nastya_spain,,6,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Android,yes,Movieark,com.mitv.tvhome.mitvplus,,6,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
LG,maybe,Nidal Wonder,com.lg.nidal_wonder,Playwork,6,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Vidaa,maybe,Pwkids,tv.vidaa.ui.plus,Playwork,6,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Fire TV,yes,The Fun Squad,B0D9YPHYRW,Playwork,6,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Tubi,unlikely,Tubi - Free Movies & Tv,com.toongoggles.tv,WURL,6,"Fox-owned Tubi runs its own ad SDK; SIMID acceptance unconfirmed | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Fire TV,unlikely,Vix,B08KJ77PQY,WURL,6,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0 | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Fire TV,yes,Adam Rose,B0DYK5FRKD,,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,Alexa Rivera,B0DV7J6LLS,Playwork,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
LG,maybe,,com.lg.ali_a,,5,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
LG,unlikely,Annoying Orange,com.lg.annoying_orange,WURL,5,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5 | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Samsung,maybe,,com.samsung.brick_o_brian,,5,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,,com.lg.cesar_pantoja,,5,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Roku,no,Com.Rumble.Roku.App,com.rumble.firetv,,5,"Roku uses Roku Ad Framework (RAF) + BrightLine/Innovid; no first-party SIMID"
LG,maybe,Creator Nation,com.lg.creator_nation,Playwork,5,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Fire TV,yes,,B0DLL5278W,,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0D12XW4DD,,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,Family Feud,B0F8JK9ZDL,Playwork,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Juan De Dios,com.samsung.juan_de_dios,Playwork,5,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Like Nastya,B0CLKVQKSD,Playwork,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Fire TV,yes,,B0FF4Y5TBT,,5,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vidaa,maybe,,com.vidaa.ninja_kids_tv,,5,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Vidaa,maybe,Not Enough Nelsons,com.vidaa.ninja_kids_tv,Playwork,5,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Samsung,maybe,Not Enough Nelsons,com.samsung.not_enough_nelsons,Playwork,5,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Pwkids,com.vidaa.pwkids,Playwork,5,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Qs Sports,com.vidaa.qs_sports,Playwork,5,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Alexa Rivera,com.samsung.alexa_rivera,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,Ali A,com.lg.ali_a,Playwork,4,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Samsung,maybe,Bestofgta,com.samsung.,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
TCL,maybe,Bryton,com.samsung.bryton,Playwork,4,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
TCL,maybe,Bumpy,B0D3ZK4KQ2,Playwork,4,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Samsung,maybe,Cesar Pantoja,com.samsung.bumpy,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Vizio,maybe,,com.vizio.creature_mix,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Samsung,maybe,Dental Digest,com.samsung.daylin_funhouse,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Dentaldigest,com.samsung.dental_digest,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Eystreem,B0D12XW4DD,Playwork,4,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Fnaf Gaming,com.samsung.firelight,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Gabyandalex,com.samsung.gabyandalex,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Gabyandalex,com.samsung.gabyandalex,,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Jordan Matter,B0DVC3QB6Z,,4,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,,com.samsung.justkass,,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Kwebbelkop,com.samsung.khaby_lame,Playwork,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Vizio,maybe,,vizio.likenastya,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
TCL,maybe,Mau Mcmahon,com.tcl.magiconnectfree,Playwork,4,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model"
Vizio,maybe,,vizio.miloandchip,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
LG,unlikely,Ninja Kids Tv,com.lg.nidal_wonder,Playwork,4,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5 | app-name pattern suggests FAST/24h channel → SSAI typical"
Vizio,maybe,,vizio.ninjakidztv,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Vizio,maybe,,com.vizio.paint_the_road,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Samsung,maybe,,com.samsung.parks_channel,,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,Payton,B0CTHSM3FY,Playwork,4,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,,com.samsung.pwkids,,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Vidaa,maybe,Mexico Vidaa CTV https://,play.google.com,,4,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage"
Samsung,maybe,Rumble: Videos & Livestreams,com.samsung.royalty_gaming,,4,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Android,yes,Slotstv,com.rumble.webos.app,Playwork,4,"Android TV / Google TV; IMA Android SDK supports SIMID 1.0"
TCL,unlikely,Tcl Tv,com.tcl.waterfall.overseas,WURL,4,"TCL ships both Roku TV (no SIMID) and Google TV (yes SIMID) variants; depends on model | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Vizio,maybe,,vizio.the_fun_squad,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Tubi,unlikely,Tubi - Free Movies & Tv,com.toongoggles.html5.tv.html5,WURL,4,"Fox-owned Tubi runs its own ad SDK; SIMID acceptance unconfirmed | app-name pattern suggests FAST/24h channel → SSAI typical | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Fire TV,yes,Tubitv,B075NTHVJW,,4,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vizio,maybe,,vizio.tubitv,,4,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Fire TV,yes,48Hours,b01mqtvn2t,Playwork,3,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vewd,maybe,A Maze Ing Mac,com.vewd.a_maze_ing_mac,Playwork,3,"Vewd Smart TV browser — depends on app"
Vidaa,unlikely,A Maze Ing Mac,com.vidaa.a_maze_ing_mac,WURL,3,"Hisense Vidaa OS (Linux+browser); depends on IMA HTML5 usage | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Fire TV,unlikely,America'S Voice News,B004Y1WCDE,WURL,3,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0 | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Vizio,maybe,,vizio.bestofamongus,,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Comcast,unlikely,,com.comcast.animation_time,,3,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Fire TV,yes,,B0CNK7QPMF,,3,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Samsung,maybe,Aussie Antics,com.samsung.ant,Playwork,3,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Samsung,maybe,Bestoffortnite,com.samsung.bestofamongus,Playwork,3,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
LG,maybe,,com.lg.bestoffortnite,,3,"webOS (web-based); same as Samsung — depends on whether app uses IMA HTML5"
Vizio,maybe,,vizio.bestoffortnite,,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Comcast,unlikely,,com.comcast.bestofminecraft,,3,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Vizio,maybe,,vizio.bestofminecraft,,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Vizio,maybe,Bloo,vizio.billyperry,Playwork,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Fire TV,yes,,B0CN1HQ6N1,,3,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Comcast,unlikely,United States Comcast CTV https://,www.xfinity.com,,3,"Xfinity X1 set-top box runs custom RDK runtime; usually SSAI"
Samsung,unlikely,Cbs News,com.samsung.bumpy,WURL,3,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Samsung,maybe,,com.samsung.cesar_pantoja,,3,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Fire TV,yes,,B0CYC7S9FT,,3,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vizio,maybe,,vizio.daylinsfunhouse,,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Samsung,maybe,Emazing,com.samsung.eh_bee_family,Playwork,3,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead"
Vizio,maybe,Family Feud,vizio.eystreem,Playwork,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
Samsung,unlikely,Filmrise,com.samsung.family_feud,WURL,3,"Tizen (web-based); SIMID renders if app uses IMA HTML5 — most use Samsung Ads stack instead | publisher_source = WURL (Roku-owned FAST distribution → SSAI typical)"
Fire TV,yes,,B076X8FKXP,,3,"Fire OS = Android-derived; IMA Android SDK supports SIMID 1.0"
Vizio,maybe,,vizio.fawesomefiretv,,3,"SmartCast (web-based); SIMID renders if app uses IMA HTML5"
